prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_dis_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,distraction.started,image_dis.started,distraction.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.010286541999448673,0.015123250000215194,0.015123250000215194,2.886647667000034,4,2.853055083000072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8866837499999747,2.889223041999685,3.1891219580002144,3.173323916999834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1733553750000283,3.1891219580002144,3.1891219580002144,4.556903791999503,s,1.3583778330003042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.556942749999507,4.571014082999682,6.612173583000185,6.556422542000291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
1,stimuli/dis_prompt_1.png,0,0,0,,,,,,,,0,0,0,0,,,,,6.612173583000185,,,,,,,,,,,,,,,,,,,,,,,,6.610288957999728,6.612173583000185,8.573667999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
3,stimuli/dis_prompt_3.png,1,1,0,,,,,,,,0,1,1,2,,,,,8.62561395800003,,,,,,,,,,,,,,,,,,,,,,,,8.622658166999827,8.62561395800003,10.557137791999594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
2,stimuli/dis_prompt_2.png,2,2,0,,,,,,,,0,2,2,1,,,,,10.604878125000141,,,,,,,,,,,,,,,,,,,,,,,,10.602997250000044,10.604878125000141,12.573626458000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
4,stimuli/dis_prompt_4.png,3,3,0,,,,,,,,0,3,3,3,,,,,12.62375904199962,,,,,,,,,,,,,,,,,,,,,,,,12.621394249999867,12.62375904199962,14.558185916999719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.558269749999454,14.572773666999637,,14.857911375000185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.857937332999427,14.87022162499943,14.87022162499943,17.422430749999876,4,2.548202666999714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42246641699967,17.426306374999513,17.73869441700026,17.721747999999934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.722772666999845,17.73869441700026,17.73869441700026,17.73869441700026,19.141839457999595,None,None,3.0,3,1.3904669579997062,None,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.141865208000127,19.153349000000162,19.44112566700005,19.438371082999765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43839170799947,19.44112566700005,19.44112566700005,20.37278329199944,4,0.9192208750000646,None,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.372823582999445,20.377153292000003,,20.673753125000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h47.18.434,distraction,2024.2.4,59.77740413068915,2025-06-16 17h47.24.182204 +0800,
