prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,distraction_loop.thisRepN,distraction_loop.thisTrialN,distraction_loop.thisN,distraction_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_dis_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,distraction.started,image_dis.started,distraction.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.010182041000007303,0.015136500000153319,0.015136500000153319,2.460571374999745,k,2.422946540999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.460623541000132,2.463593000000401,2.759633499999836,2.747522458000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7475620409995827,2.759633499999836,3.7470019579996006,3.744528666000406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7445695409996915,3.7470019579996006,5.7871806659995855,5.730681041000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
1,stimuli/dis_prompt_1.png,0,0,0,,,,,,,,0,0,0,0,,,,,5.7871806659995855,,,,,,,,,,,,,,,,,,,,,5.784902415999568,5.7871806659995855,10.761082791000263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
3,stimuli/dis_prompt_3.png,1,1,0,,,,,,,,0,1,1,2,,,,,10.813533583000208,,,,,,,,,,,,,,,,,,,,,10.810687541000334,10.813533583000208,15.76175562499975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
4,stimuli/dis_prompt_4.png,2,2,0,,,,,,,,0,2,2,3,,,,,15.809443457999805,,,,,,,,,,,,,,,,,,,,,15.805555541000103,15.809443457999805,20.761704958000337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
2,stimuli/dis_prompt_2.png,3,3,0,,,,,,,,0,3,3,1,,,,,20.814776625000377,,,,,,,,,,,,,,,,,,,,,20.81149379099952,20.814776625000377,25.76285212499988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.76293650000025,25.765030665999802,26.06559987499986,26.049625915999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.050607707999916,26.06559987499986,26.06559987499986,26.06559987499986,28.086479458000213,None,None,3.0,l,2.019908792000024,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_17h29.24.564,distraction_demo,2024.2.4,None,2025-06-16 17h29.32.502609 +0800,
