prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.007277791999968031,0.011894249999841122,0.011894249999841122,4.669557582999914,4,4.634798292000141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.669598791999988,4.67287424999995,4.9694521249998616,4.965372916999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.965398667000045,4.9694521249998616,4.9694521249998616,6.316476125000008,s,1.344615499999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3165187499998865,6.319358457999897,8.378190499999846,8.315598666999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
1,stimuli/rum_prompt_1.png,0,0,0,,,,,,,,0,0,0,0,,,,,8.378190499999846,,,,,,,,,,,,,,,,,,,,,,,,8.375751000000037,8.378190499999846,13.319044416999986,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
2,stimuli/rum_prompt_2.png,1,1,0,,,,,,,,0,1,1,1,,,,,13.374925458000007,,,,,,,,,,,,,,,,,,,,,,,,13.373058749999927,13.374925458000007,18.31926954200003,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
4,stimuli/rum_prompt_4.png,2,2,0,,,,,,,,0,2,2,3,,,,,18.367067874999975,,,,,,,,,,,,,,,,,,,,,,,,18.364735542000062,18.367067874999975,23.31938045799984,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
3,stimuli/rum_prompt_3.png,3,3,0,,,,,,,,0,3,3,2,,,,,23.368106791999935,,,,,,,,,,,,,,,,,,,,,,,,23.36534795800003,23.368106791999935,28.316858082999943,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.316944499999863,28.319188124999982,28.618478458000027,28.603386125000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.604262416999973,28.618478458000027,28.618478458000027,28.618478458000027,32.26710508299993,None,None,6.0,3,3.640986874999953,None,,,,,,,,,,,,,,,999,001,2025-06-16_16h18.58.973,rumination,2024.2.4,None,2025-06-16 16h19.04.310362 +0800,
