prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotion_instruct.started,image_emotional_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.008809500000097614,0.013398458999972718,0.013398458999972718,3.4006677920001493,3,3.370800165999981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.400712500000054,3.4098648750000393,3.701996167000061,3.698094292000178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6981306669999867,3.701996167000061,3.701996167000061,4.704053208999994,s,1.0002157499998248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.704092959000036,4.71360883400007,6.756223542000043,6.698444250000193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
3,stimuli/rum_prompt_3.png,0,0,0,,,,,,,,0,0,0,2,,,,,6.756223542000043,,,,,,,,,,,,,,,,,,,,,,,,6.753516084000012,6.756223542000043,11.715987375000168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
1,stimuli/rum_prompt_1.png,1,1,0,,,,,,,,0,1,1,0,,,,,11.783497792000162,,,,,,,,,,,,,,,,,,,,,,,,11.781280417000062,11.783497792000162,16.706958792000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
2,stimuli/rum_prompt_2.png,2,2,0,,,,,,,,0,2,2,1,,,,,16.779396209000197,,,,,,,,,,,,,,,,,,,,,,,,16.77378591700017,16.779396209000197,21.709613250000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
4,stimuli/rum_prompt_4.png,3,3,0,,,,,,,,0,3,3,3,,,,,21.777377958999978,,,,,,,,,,,,,,,,,,,,,,,,21.771985500000028,21.777377958999978,26.706835542000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.706945000000132,26.715032917000144,27.0070128750001,27.00321000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.003245875000175,27.0070128750001,27.0070128750001,37.501450792000014,3,10.485580542000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.50148791700008,37.50559779200012,37.8179419170001,37.80023608400006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.801190084000154,37.8179419170001,37.8179419170001,37.8179419170001,39.154047709,None,None,3.0,3,1.3224838330002058,None,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.154074834000085,39.16853654200008,39.46794900000009,39.4524577090001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h22.43.290,rumination,2024.2.4,None,2025-06-16 16h22.49.262970 +0800,
