prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.009387457999991966,0.020151958000042214,0.020151958000042214,5.066514665999989,k,5.026076790999923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.066567833000022,5.069312375000095,5.363814000000048,5.353285375000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.353309875000036,5.363814000000048,6.351634833000048,6.348540000000071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.348570791000043,6.363823791000073,8.409326749999991,8.348479333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
1,stimuli/rum_prompt_1.png,0,0,0,,,,,,,,0,0,0,0,,,,,8.409326749999991,,,,,,,,,,,,,,,,,,,,,8.406129208000038,8.409326749999991,13.370018250000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
2,stimuli/rum_prompt_2.png,1,1,0,,,,,,,,0,1,1,1,,,,,13.426542208,,,,,,,,,,,,,,,,,,,,,13.421405291000042,13.426542208,18.370327958000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
4,stimuli/rum_prompt_4.png,2,2,0,,,,,,,,0,2,2,3,,,,,18.42172933300003,,,,,,,,,,,,,,,,,,,,,18.418977916000017,18.42172933300003,23.370494291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
3,stimuli/rum_prompt_3.png,3,3,0,,,,,,,,0,3,3,2,,,,,23.422200750000002,,,,,,,,,,,,,,,,,,,,,23.418998416000022,23.422200750000002,28.370580750000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.370651083000098,28.38184250000006,28.682423040999993,28.66665075000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.667671666000047,28.682423040999993,28.682423040999993,28.682423040999993,31.42605854100009,None,None,2.0,l,2.7389522080000006,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h09.51.658,rumination_demo,2024.2.4,None,2025-06-16 16h10.28.610020 +0800,
