prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.009481791999860434,0.022736833999942974,0.022736833999942974,4.415217834000032,k,4.384602709000092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4152635840000585,4.419977750000044,4.718561791999946,4.714440416999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.714471209000067,4.718561791999946,5.713049917000035,5.703300749999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.703326458999982,5.713049917000035,7.764750291999917,7.69823995899992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
3,stimuli/rum_prompt_3.png,0,0,0,,,,,,,,0,0,0,2,,,,,7.764750291999917,,,,,,,,,,,,,,,,,,,,,7.762198874999967,7.764750291999917,12.718307999999979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
4,stimuli/rum_prompt_4.png,1,1,0,,,,,,,,0,1,1,3,,,,,12.778108834000022,,,,,,,,,,,,,,,,,,,,,12.775343208999857,12.778108834000022,17.71934654200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
2,stimuli/rum_prompt_2.png,2,2,0,,,,,,,,0,2,2,1,,,,,17.772789124999917,,,,,,,,,,,,,,,,,,,,,17.770029999999906,17.772789124999917,22.71967362500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
1,stimuli/rum_prompt_1.png,3,3,0,,,,,,,,0,3,3,0,,,,,22.771865833999982,,,,,,,,,,,,,,,,,,,,,22.768925999999965,22.771865833999982,27.71544695900002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.715587083999935,27.718923874999973,28.014423333999957,28.00335466699994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.003375874999847,28.014423333999957,28.014423333999957,29.85002995900004,l,1.832771499999808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.850066666999965,29.853779458999952,30.164877917000013,30.149236416999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.150364874999923,30.164877917000013,30.164877917000013,30.164877917000013,31.889896708999913,None,None,2.0,l,1.7233672499999102,None,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.889927666999938,31.897800624999945,32.18680762500003,32.182642750000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.18267479199994,32.18680762500003,32.18680762500003,36.083703374999914,3,3.8861786669999674,None,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.08374333400002,36.08766612499994,36.392982416999985,36.371209417000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
