event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_sad_memo_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,sad_memory.started,background.started,background.stopped,sad_memory.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instrct.started,emotion_instruct.stopped,key_resp_emotion_instrct.keys,key_resp_emotion_instrct.rt,key_resp_emotion_instrct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.014760124999156687,0.02212379099728423,0.02212379099728423,4.524798040998576,4,4.476714374999574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.524835874999553,4.527617540999927,4.823040749997745,4.812202749999415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8122371659992496,4.823040749997745,4.823040749997745,7.979898249999678,s,3.1552986669994425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.979942707999726,7.989660749997711,9.993705124998087,9.974792375000106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
2,考验,逃避,None,None,0,0,0,,,,,,,,0,0,0,1,,,,,9.993705124998087,,,,,,,,,,,,,,,,,,,,,,,,9.98888416599948,9.993705124998087,11.993451082998945,11.979111249998823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
4,夏天,失望,放弃,分手,1,1,0,,,,,,,,0,1,1,3,,,,,11.993451082998945,,,,,,,,,,,,,,,,,,,,,,,,11.989604374997725,11.993451082998945,13.989862708000146,13.978733415999159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
1,争吵,None,None,None,2,2,0,,,,,,,,0,2,2,0,,,,,13.989862708000146,,,,,,,,,,,,,,,,,,,,,,,,13.984022915999958,13.989862708000146,15.98813479099772,15.975024707997363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
3,界线感,放下戒备,信任,None,3,3,0,,,,,,,,0,3,3,2,,,,,15.98813479099772,,,,,,,,,,,,,,,,,,,,,,,,15.984467250000307,15.98813479099772,17.977002749998064,17.97503308299929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.97511291599949,17.977002749998064,18.273778666,18.26357637500041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.26360370799739,18.273778666,18.273778666,23.264184999999998,4,4.988810582999577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
